"Time (s)","Recording (a.u.)"
3.125000000E-3,-2.402993152E-3
3.145833333E-3,-2.101392718E-3
3.166666667E-3,-1.735027763E-3
3.187500000E-3,-1.397491782E-3
3.208333333E-3,-1.066700905E-3
3.229166667E-3,-7.031389978E-4
3.250000000E-3,-2.911791671E-4
3.270833333E-3,1.124209884E-4
3.291666667E-3,3.434177488E-4
3.312500000E-3,4.656387609E-4
3.333333333E-3,5.634794361E-4
3.354166667E-3,6.787037710E-4
3.375000000E-3,9.809311014E-4
3.395833333E-3,1.392813167E-3
3.416666667E-3,1.809024601E-3
3.437500000E-3,2.219299786E-3
3.458333333E-3,2.559410408E-3
3.479166667E-3,2.788684797E-3
3.500000000E-3,2.886193106E-3
3.520833333E-3,2.900084015E-3
3.541666667E-3,2.937145997E-3
3.562500000E-3,3.071575658E-3
3.583333333E-3,3.323379206E-3
3.604166667E-3,3.673471510E-3
3.625000000E-3,3.931743093E-3
3.645833333E-3,4.064944573E-3
3.666666667E-3,4.190441687E-3
3.687500000E-3,4.336637445E-3
3.708333333E-3,4.486429505E-3
3.729166667E-3,4.485107027E-3
3.750000000E-3,4.383491352E-3
3.770833333E-3,4.295022227E-3
3.791666667E-3,4.300515167E-3
3.812500000E-3,4.468654282E-3
3.833333333E-3,4.761908669E-3
3.854166667E-3,5.101394840E-3
3.875000000E-3,5.263715517E-3
3.895833333E-3,5.323751830E-3
3.916666667E-3,5.331094377E-3
3.937500000E-3,5.229107104E-3
3.958333333E-3,5.205158144E-3
3.979166667E-3,5.233523436E-3
4.000000000E-3,5.270064343E-3
4.020833333E-3,5.348188803E-3
4.041666667E-3,5.494296551E-3
4.062500000E-3,5.647071637E-3
4.083333333E-3,5.668008234E-3
4.104166667E-3,5.560156889E-3
4.125000000E-3,5.342771299E-3
4.145833333E-3,5.113535561E-3
4.166666667E-3,4.901384469E-3
4.187500000E-3,4.675497301E-3
4.208333333E-3,4.483848810E-3
4.229166667E-3,4.345348105E-3
4.250000000E-3,4.245570861E-3
4.270833333E-3,4.170650616E-3
4.291666667E-3,4.082998727E-3
4.312500000E-3,3.871735651E-3
4.333333333E-3,3.615701571E-3
4.354166667E-3,3.311787033E-3
4.375000000E-3,2.925714478E-3
4.395833333E-3,2.634593751E-3
4.416666667E-3,2.371625509E-3
4.437500000E-3,2.170328982E-3
4.458333333E-3,2.042253269E-3
4.479166667E-3,1.839984790E-3
4.500000000E-3,1.623856835E-3
4.520833333E-3,1.330223982E-3
4.541666667E-3,9.439147543E-4
4.562500000E-3,5.593114183E-4
4.583333333E-3,1.733716490E-4
4.604166667E-3,-2.006637660E-4
4.625000000E-3,-5.576664116E-4
4.645833333E-3,-8.643937763E-4
4.666666667E-3,-1.186938724E-3
4.687500000E-3,-1.598444767E-3
4.708333333E-3,-1.947135432E-3
4.729166667E-3,-2.245994750E-3
4.750000000E-3,-2.607857343E-3
4.770833333E-3,-2.994138747E-3
4.791666667E-3,-3.437695559E-3
4.812500000E-3,-3.926350735E-3
4.833333333E-3,-4.411168396E-3
4.854166667E-3,-4.835885484E-3
4.875000000E-3,-5.152845755E-3
4.895833333E-3,-5.427116994E-3
4.916666667E-3,-5.695043132E-3
4.937500000E-3,-6.063319277E-3
4.958333333E-3,-6.550374441E-3
4.979166667E-3,-7.035274059E-3
5.000000000E-3,-7.490518969E-3
5.020833333E-3,-7.898026146E-3
5.041666667E-3,-8.331686258E-3
5.062500000E-3,-8.801879361E-3
5.083333333E-3,-9.176617488E-3
5.104166667E-3,-9.478785098E-3
5.125000000E-3,-9.721606970E-3
5.145833333E-3,-9.903424419E-3
5.166666667E-3,-1.016269438E-2
5.187500000E-3,-1.046267990E-2
5.208333333E-3,-1.079010777E-2
5.229166667E-3,-1.121316943E-2
5.250000000E-3,-1.155216992E-2
5.270833333E-3,-1.179742441E-2
5.291666667E-3,-1.199608855E-2
5.312500000E-3,-1.212270372E-2
5.333333333E-3,-1.228760835E-2
5.354166667E-3,-1.241847593E-2
5.375000000E-3,-1.254166290E-2
5.395833333E-3,-1.275568735E-2
5.416666667E-3,-1.300920080E-2
5.437500000E-3,-1.331545226E-2
5.458333333E-3,-1.354529709E-2
5.479166667E-3,-1.366625633E-2
5.500000000E-3,-1.372211799E-2
5.520833333E-3,-1.369759440E-2
5.541666667E-3,-1.375054196E-2
5.562500000E-3,-1.387192309E-2
5.583333333E-3,-1.390670333E-2
5.604166667E-3,-1.388558280E-2
5.625000000E-3,-1.390190795E-2
5.645833333E-3,-1.396898925E-2
5.666666667E-3,-1.407010201E-2
5.687500000E-3,-1.415446028E-2
5.708333333E-3,-1.415050216E-2
5.729166667E-3,-1.403430291E-2
5.750000000E-3,-1.386797335E-2
5.770833333E-3,-1.372148748E-2
5.791666667E-3,-1.365886349E-2
5.812500000E-3,-1.370420586E-2
5.833333333E-3,-1.376423705E-2
5.854166667E-3,-1.382042095E-2
5.875000000E-3,-1.386560500E-2
5.895833333E-3,-1.383090764E-2
5.916666667E-3,-1.367142051E-2
5.937500000E-3,-1.329424791E-2
5.958333333E-3,-1.267837919E-2
5.979166667E-3,-1.206173562E-2
6.000000000E-3,-1.164760068E-2
6.020833333E-3,-1.130954456E-2
6.041666667E-3,-1.101437304E-2
6.062500000E-3,-1.064054668E-2
6.083333333E-3,-1.002705842E-2
6.104166667E-3,-9.451385587E-3
6.125000000E-3,-8.914839476E-3
6.145833333E-3,-8.345704526E-3
6.166666667E-3,-7.807073649E-3
6.187500000E-3,-7.224077359E-3
6.208333333E-3,-6.647366099E-3
6.229166667E-3,-5.973027553E-3
6.250000000E-3,-5.386613775E-3
6.270833333E-3,-5.085378420E-3
6.291666667E-3,-4.822698422E-3
6.312500000E-3,-4.432845861E-3
6.333333333E-3,-3.801636165E-3
6.354166667E-3,-3.095021006E-3
6.375000000E-3,-2.378394594E-3
6.395833333E-3,-1.615685644E-3
6.416666667E-3,-1.033311943E-3
6.437500000E-3,-5.978257977E-4
6.458333333E-3,-2.477655362E-4
6.479166667E-3,6.174090959E-5
6.500000000E-3,4.399974132E-4
6.520833333E-3,9.412786458E-4
6.541666667E-3,1.686780946E-3
6.562500000E-3,2.524773125E-3
6.583333333E-3,3.185950220E-3
6.604166667E-3,3.634450259E-3
6.625000000E-3,4.099357873E-3
6.645833333E-3,4.582327325E-3
6.666666667E-3,4.967608489E-3
6.687500000E-3,5.480331369E-3
6.708333333E-3,5.883351900E-3
6.729166667E-3,6.157444790E-3
6.750000000E-3,6.610698067E-3
6.770833333E-3,7.116060238E-3
6.791666667E-3,7.781372406E-3
6.812500000E-3,8.483336307E-3
6.833333333E-3,9.028854780E-3
6.854166667E-3,9.525294416E-3
6.875000000E-3,9.860338643E-3
6.895833333E-3,1.010154933E-2
6.916666667E-3,1.045664772E-2
6.937500000E-3,1.092343591E-2
6.958333333E-3,1.140215248E-2
6.979166667E-3,1.192164794E-2
7.000000000E-3,1.249901205E-2
7.020833333E-3,1.299154572E-2
7.041666667E-3,1.336069312E-2
7.062500000E-3,1.350079849E-2
7.083333333E-3,1.346013788E-2
7.104166667E-3,1.355574746E-2
7.125000000E-3,1.385795604E-2
7.145833333E-3,1.420579571E-2
7.166666667E-3,1.432727464E-2
7.187500000E-3,1.429660246E-2
7.208333333E-3,1.437715255E-2
7.229166667E-3,1.447294280E-2
7.250000000E-3,1.456273906E-2
7.270833333E-3,1.463106275E-2
7.291666667E-3,1.469072141E-2
7.312500000E-3,1.465266477E-2
7.333333333E-3,1.430253312E-2
7.354166667E-3,1.400431246E-2
7.375000000E-3,1.391887479E-2
7.395833333E-3,1.400233340E-2
7.416666667E-3,1.420474239E-2
7.437500000E-3,1.419155858E-2
7.458333333E-3,1.412614435E-2
7.479166667E-3,1.401476376E-2
7.500000000E-3,1.373657864E-2
7.520833333E-3,1.341946796E-2
7.541666667E-3,1.310500130E-2
7.562500000E-3,1.292373799E-2
7.583333333E-3,1.280373801E-2
7.604166667E-3,1.261742413E-2
7.625000000E-3,1.227130461E-2
7.645833333E-3,1.187786646E-2
7.666666667E-3,1.158483885E-2
7.687500000E-3,1.136657316E-2
7.708333333E-3,1.119872835E-2
7.729166667E-3,1.087564602E-2
7.750000000E-3,1.047011930E-2
7.770833333E-3,1.007767953E-2
7.791666667E-3,9.628755972E-3
7.812500000E-3,9.280052967E-3
7.833333333E-3,9.110184386E-3
7.854166667E-3,9.045187384E-3
7.875000000E-3,8.927580900E-3
7.895833333E-3,8.670447394E-3
7.916666667E-3,8.248614147E-3
7.937500000E-3,7.648384199E-3
7.958333333E-3,7.105241064E-3
7.979166667E-3,6.658070255E-3
8.000000000E-3,6.143867038E-3
8.020833333E-3,5.743288901E-3
8.041666667E-3,5.487095565E-3
8.062500000E-3,5.152134225E-3
8.083333333E-3,4.728274420E-3
8.104166667E-3,4.217226990E-3
8.125000000E-3,3.652554005E-3
8.145833333E-3,3.138618544E-3
8.166666667E-3,2.570113400E-3
8.187500000E-3,1.941682305E-3
8.208333333E-3,1.360229682E-3
8.229166667E-3,8.510537446E-4
8.250000000E-3,4.628482275E-4
8.270833333E-3,1.634266519E-4
8.291666667E-3,-7.625234139E-5
8.312500000E-3,-3.396394313E-4
8.333333333E-3,-6.865574396E-4
8.354166667E-3,-1.127444557E-3
8.375000000E-3,-1.655087108E-3
8.395833333E-3,-2.148696221E-3
8.416666667E-3,-2.574203536E-3
8.437500000E-3,-2.805104712E-3
8.458333333E-3,-2.868948504E-3
8.479166667E-3,-2.966071712E-3
8.500000000E-3,-3.078084439E-3
8.520833333E-3,-3.274498973E-3
8.541666667E-3,-3.556802636E-3
8.562500000E-3,-3.851661459E-3
8.583333333E-3,-4.141552839E-3
8.604166667E-3,-4.292360041E-3
8.625000000E-3,-4.375946708E-3
8.645833333E-3,-4.467898980E-3
8.666666667E-3,-4.475693218E-3
8.687500000E-3,-4.460141063E-3
8.708333333E-3,-4.416667391E-3
8.729166667E-3,-4.363737069E-3
8.750000000E-3,-4.362080246E-3
8.770833333E-3,-4.367606714E-3
8.791666667E-3,-4.512607120E-3
8.812500000E-3,-4.735347815E-3
8.833333333E-3,-4.850357771E-3
8.854166667E-3,-4.922051448E-3
8.875000000E-3,-4.821911454E-3
8.895833333E-3,-4.578110762E-3
8.916666667E-3,-4.388031550E-3
8.937500000E-3,-4.287242424E-3
8.958333333E-3,-4.323068075E-3
8.979166667E-3,-4.386945162E-3
9.000000000E-3,-4.418756813E-3
9.020833333E-3,-4.345548339E-3
9.041666667E-3,-4.174287431E-3
9.062500000E-3,-4.041179083E-3
9.083333333E-3,-3.898905125E-3
9.104166667E-3,-3.691434395E-3
9.125000000E-3,-3.320066957E-3
9.145833333E-3,-2.920509782E-3
9.166666667E-3,-2.668629400E-3
9.187500000E-3,-2.411814639E-3
9.208333333E-3,-2.149325563E-3
9.229166667E-3,-1.947689801E-3
9.250000000E-3,-1.722007524E-3
9.270833333E-3,-1.442065695E-3
9.291666667E-3,-1.144247828E-3
9.312500000E-3,-8.253042470E-4
9.333333333E-3,-4.490103456E-4
9.354166667E-3,-1.646975579E-5
9.375000000E-3,3.622004879E-4
9.395833333E-3,6.307098665E-4
9.416666667E-3,8.839394432E-4
9.437500000E-3,1.076307613E-3
9.458333333E-3,1.211940544E-3
9.479166667E-3,1.439965097E-3
9.500000000E-3,1.767592505E-3
9.520833333E-3,2.149137668E-3
9.541666667E-3,2.534959931E-3
9.562500000E-3,2.960578073E-3
9.583333333E-3,3.361586016E-3
9.604166667E-3,3.575118259E-3
9.625000000E-3,3.739711596E-3
9.645833333E-3,3.891036380E-3
9.666666667E-3,4.019436426E-3
9.687500000E-3,4.278303124E-3
9.708333333E-3,4.584840499E-3
9.729166667E-3,4.804486874E-3
9.750000000E-3,4.952111747E-3
9.770833333E-3,5.153636448E-3
9.791666667E-3,5.438982509E-3
9.812500000E-3,5.683939904E-3
9.833333333E-3,5.775318481E-3
9.854166667E-3,5.748198368E-3
9.875000000E-3,5.701472517E-3
9.895833333E-3,5.640889518E-3
